"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"hardin county","TX",192,118.6,90.4,17.6,"metro"
"macon county","AL",123.67,496.6,44.6,10.8,"non-metro"
"elk county","KS",146.2,-1,3,11.6,"non-metro"
"knox county","TN",51.62,227.1,84.7,9.9,"metro"
"tarrant county","TX",286.62,320.7,61,18.2,"metro"
"worcester county","MD",97.5,194.7,63,7.8,"metro"
"pearl river county","MS",55.33,219.4,113.5,15.9,"non-metro"
"davie county","NC",21,-1,88.3,13,"metro"
"pend oreille county","WA",63.5,87.9,102.4,10.8,"metro"
"dewitt county","TX",388.5,46.5,44,14.8,"non-metro"
"upshur county","TX",229.4,114.9,18.2,17,"metro"
"owsley county","KY",21,-1,229.3,9.8,"non-metro"
"benton county","WA",24.5,65.4,89.8,10.4,"metro"
"greenup county","KY",8.29,-1,60,9.6,"metro"
"hardin county","KY",36.25,162.6,80.9,8.4,"metro"
"district of columbia","DC",1.38,479.8,28.5,5.2,"metro"
"los angeles county","CA",7.99,565.2,29.8,15.9,"metro"
"wichita county","TX",270.36,122.3,98.7,16.4,"metro"
"morgan county","GA",52.25,202.6,77.4,13.4,"metro"
"perry county","TN",70.5,120.4,100.9,16.9,"non-metro"
"washington county","UT",121.55,69.4,79.7,15.4,"metro"
"macon county","TN",44,41.4,113.7,11.5,"metro"
"decatur county","IA",122.38,73.8,54.2,12.8,"non-metro"
"tama county","IA",60.85,77.2,27.2,7.6,"non-metro"
"shelby county","OH",38.55,79.9,60,5.7,"non-metro"
"carroll county","IA",151.82,89.4,87.8,3.3,"non-metro"
"lake county","MI",71,95.1,29,11.4,"non-metro"
"st. louis city","MO",3.32,1117.1,47.9,14.7,"metro"
"jim wells county","TX",456,82.7,77.5,21,"non-metro"
"iberville parish","LA",20.5,1019.7,73.3,12.2,"metro"
"hoke county","NC",14,-1,56.3,14.7,"metro"
"dundy county","NE",175.25,-1,107.1,12,"non-metro"
"harford county","MD",25.75,222.2,64.6,4.6,"metro"
